title,company,location,salary,type,description,apply_link,created_at
"Java Developer – Core Java, Multithreading, S...",Calitii,None IN,Not disclosed,Full-time,"Job Summary

Synechron is seeking a Java Developer to build, enhance, and support scalable enterprise applications and microservices. The role focuses on Core Java, multithreading, database design, SQL, and Spring Boot to deliver secure, reliable, and high-performing solutions.

Software Requirements

Required

• Java 11+; Java 17 preferred
• Spring Boot 2.x/3.x and Spring Framework
• SQL and relational databases
• RESTful APIs and microservices
• Git, Maven or Gradle
• JUnit and Mockito
• CI/CD...",https://in.linkedin.com/jobs/view/java-developer-%E2%80%93-core-java-multithreading-s-at-calitii-4457493566,2026-09-06 17:23:21
Systems Developer II,Thermo Fisher Scientific,Bengaluru IN,Not disclosed,Full-time,"Work Schedule
Second Shift (Afternoons)

Environmental Conditions
Office

Job Description

As part of the Thermo Fisher Scientific team, you’ll discover meaningful work that makes a positive impact on a global scale. Join our colleagues in bringing our Mission to life every single day to enable our customers to make the world healthier, cleaner and safer. We provide our global teams with the resources needed to achieve individual career goals while helping to take science a step beyond by develo...",https://jobs.thermofisher.com/global/en/job/R-01359878/Systems-Developer-II,2026-09-05 17:35:35
Sr Software Engineer - Cloud,Southwest Airlines,Hyderabad IN,Not disclosed,Full-time,"Department:
Technology

Our Company Promise

We are committed to provide our Employees a stable work environment with equal opportunity for learning and personal growth. Creativity and innovation are encouraged for improving the effectiveness of Southwest Airlines. Above all, Employees will be provided the same concern, respect, and caring attitude within the organization that they are expected to share externally with every Southwest Customer.

Job Description:
As a Sr Software Engineer Global ...",https://careers.southwestair.com/in/en/job/R-2026-68059/Sr-Software-Engineer-Cloud,2026-09-05 17:35:35
Senior Application Developer,Cargill,Bengaluru IN,Not disclosed,Full-time,"Job Purpose and Impact

We are seeking an experienced Senior Professional with deep expertise in OpenText xECM for SAP and SAP-centric enterprise content management solutions. The ideal candidate will provide technical leadership for application architecture, custom development, SAP integrations, platform enhancements, and solution delivery while ensuring scalability, security, performance, and alignment with enterprise standards. This role requires close collaboration with SAP functional teams,...",https://careers.cargill.com/en/job/bengaluru/senior-application-developer/23251/98165574960,2026-09-05 17:35:35
MES Developer,RTX,Bengaluru IN,Not disclosed,Full-time,"Date Posted:
2026-08-19

Country:
India

Location:
IN-KA-BENGALURU-NORTHGATE Sy No 2/2 Venkatala Village SY NO 2/2 VENKATALA VILLAGE, Yelahanka Hobli

Position Role Type:
Hybrid

At RTX, the world's largest aerospace and defense company, 185,000 great minds are united by purpose and inspired to make a difference solving the world’s most complex problems. With our three market leading businesses, world-class operations and investments in research and development, we offer capabilities and opportu...",https://careers.rtx.com/global/en/job/01867174/MES-Developer,2026-09-05 17:35:35
"Lead Software Engineer - Developer: Full Stack, Java, Angular, Spring, Microservices, Openshift",Societe Generale Global Solution Centre,Bengaluru IN,Not disclosed,Full-time,"Reference 26000DXG

Responsibilities

• Proficient in Java versions : 8, 11, 17, 21;
• Technologies:
• Back-end :
• Spring Boot (v2.x, v3.x);
• Spring Framework (Web MVC v5.x, v6.x);
• Spring Data;
• Spring Cloud;
• Spring Security;
• Spring Integration;
• Spring AMQP;
• Front-end :
• Angular (v>12) -> this is a “nice to have”;

Required

Profile required

• Good knowledge of microservice development patterns;
• Good knowledge of microservice architectures;
• Good knowledge of Docker, Kubernetes...",https://in.linkedin.com/jobs/view/lead-software-engineer-developer-full-stack-java-angular-spring-microservices-openshift-at-societe-generale-global-solution-centre-4457508766,2026-09-05 17:35:35
Developer Specialist (Front End Developer) - WebOps - Core Maintenance,Google Operations Center,Bengaluru IN,Not disclosed,Full-time,"Join Us!

At Google Operations Center we help Google users and customers solve problems and achieve their goals—all while enjoying a culture focused on improving continuously and being better together. We work hard, we play hard, and we want you to join us!

Role Overview

In this role, you will develop responsive, scalable, and reusable front-end components using modern JavaScript frameworks while optimizing application performance for maximum speed and scalability across various devices.

Posi...",https://in.linkedin.com/jobs/view/developer-specialist-front-end-developer-webops-core-maintenance-at-google-operations-center-4450300901,2026-09-05 17:35:35
MERN Stack Developer (Fresher / Entry Level),G7 CR Technologies,None IN,Not disclosed,Full-time,"• Industry: IT/Cloud Services

• Location: Bangalore, Karnataka

• Job Title: MERN Stack Developer (Fresher / Entry Level)

About Us

G7 CR Technologies India Pvt Ltd is a leading IT and Cloud services company specializing in software development, cloud transformation, product engineering, and AI-driven solutions. We empower businesses to achieve digital excellence and are rapidly expanding our team. At G7 CR, we value innovation, ownership, and collaboration offering an environment where talent...",https://in.indeed.com/viewjob?jk=7abfa42fef87fadf,2026-09-05 17:35:35
"Lead Application Developer - Full stack (.NET, angular, Azure)",UPS,Chennai IN,Not disclosed,Full-time,"Before you apply to a job, select your language preference from the options available at the top right of this page.

Explore your next opportunity at a Fortune Global 500 organization. Envision innovative possibilities, experience our rewarding culture, and work with talented teams that help you become better every day. We know what it takes to lead UPS into tomorrow—people with a unique combination of skill + passion. If you have the qualities and drive to lead yourself or teams, there are rol...",https://www.jobs-ups.com/imea/en/job/R26003964/Lead-Application-Developer-Full-stack-NET-angular-Azure,2026-09-05 17:35:35
Amazon Connect & Amazon Lex Developers,ProminentPixel,None None,Not disclosed,Full-time,"Job Summary

We are seeking an experienced Amazon Connect & Amazon Lex Developer to design, develop, and support cloud-based contact center solutions on AWS. The ideal candidate will have hands-on experience with Amazon Connect, Amazon Lex, AWS Lambda, and related AWS services to build scalable customer engagement solutions across voice and chat channels.

Key Responsibilities
• Design, develop, and maintain Amazon Connect contact flows, routing strategies, queues, and agent configurations.
• Bu...",https://in.linkedin.com/jobs/view/amazon-connect-amazon-lex-developers-at-prominentpixel-4428233126,2026-06-21 09:43:50
